"PLAYER_ID","PLAYER_NAME","TEAM_ABBREVIATION","GP","MIN","PTS","REB","AST","STL","BLK","FG_PCT","FG3_PCT","FT_PCT","TOV","PLUS_MINUS","SEASON"
201950,"Jrue Holiday","MIL",59,32.319,17.729,4.542,6.051,1.627,0.627,0.5,0.373,0.549,2.153,6.424,"2020-21"
201952,"Jeff Teague","BOS",34,18.126,6.853,1.676,2.147,0.765,0.206,0.36,0.341,0.37,1.147,1.676,"2020-21"
201952,"Jeff Teague","MIL",21,15.898,6.571,1.476,2.81,0.381,0.238,0.421,0.214,0.452,1.19,-0.048,"2020-21"
201959,"Taj Gibson","NYK",45,20.793,5.356,5.556,0.8,0.689,1.089,0.586,0.041,0.348,0.489,2.867,"2020-21"
201961,"Wayne Ellington","DET",46,21.997,9.609,1.848,1.457,0.391,0.196,0.396,0.366,0.267,0.717,-1.5,"2020-21"
201976,"Patrick Beverley","LAC",37,22.499,7.514,3.216,2.054,0.784,0.757,0.402,0.391,0.41,0.919,3.973,"2020-21"
201980,"Danny Green","PHI",69,28.034,9.478,3.768,1.71,1.333,0.812,0.408,0.383,0.208,0.971,4.507,"2020-21"
201988,"Patty Mills","SAS",68,24.776,10.824,1.706,2.382,0.618,0.044,0.391,0.351,0.461,0.971,0.397,"2020-21"
202066,"Garrett Temple","CHI",56,27.29,7.554,2.857,2.214,0.768,0.536,0.402,0.301,0.371,1.036,0.857,"2020-21"
202083,"Wesley Matthews","LAL",58,19.481,4.81,1.603,0.931,0.655,0.293,0.291,0.244,0.243,0.448,0.655,"2020-21"
202322,"John Wall","HOU",40,32.202,20.575,3.225,6.875,1.05,0.775,0.4,0.312,0.719,3.525,-4.15,"2020-21"
202324,"Derrick Favors","UTA",68,15.282,5.426,5.529,0.647,0.471,1,0.648,0,0.367,0.529,0.544,"2020-21"
202326,"DeMarcus Cousins","HOU",25,20.245,9.64,7.64,2.4,0.84,0.72,0.359,0.288,0.546,1.56,-1.88,"2020-21"
202330,"Gordon Hayward","CHA",44,34.004,19.614,5.864,4.114,1.182,0.318,0.466,0.436,0.739,2.068,0.432,"2020-21"
202331,"Paul George","LAC",54,33.721,23.315,6.648,5.185,1.148,0.444,0.467,0.403,0.8,3.315,8,"2020-21"
202334,"Ed Davis","MIN",23,12.997,2.087,5,0.913,0.565,0.565,0.351,0,0.185,0.304,-2.043,"2020-21"
202335,"Patrick Patterson","LAC",38,15.307,5.184,1.974,0.763,0.368,0.211,0.437,0.363,0.184,0.289,0.605,"2020-21"
202339,"Eric Bledsoe","NOP",71,29.74,12.239,3.437,3.775,0.775,0.338,0.418,0.31,0.519,1.606,-0.93,"2020-21"
202355,"Hassan Whiteside","SAC",36,15.163,8.139,5.972,0.556,0.25,1.278,0.53,0,0.361,1.111,-2.917,"2020-21"
202357,"Nemanja Bjelica","SAC",26,16.883,7.192,3.846,1.885,0.308,0.077,0.394,0.31,0.441,1.077,-2.269,"2020-21"
202397,"Ish Smith","WAS",44,20.991,6.705,3.409,3.909,0.727,0.295,0.407,0.254,0.199,0.932,1.159,"2020-21"
202681,"Kyrie Irving","BKN",54,34.93,26.87,4.759,6,1.407,0.685,0.506,0.391,0.838,2.407,4.241,"2020-21"
202683,"Enes Freedom","POR",72,24.406,11.194,11.042,1.167,0.458,0.667,0.615,0.007,0.503,1.083,2.153,"2020-21"
202684,"Tristan Thompson","BOS",54,23.827,7.574,8.13,1.241,0.444,0.611,0.497,0,0.431,1.148,0.444,"2020-21"
202685,"Jonas Valančiūnas","MEM",62,28.312,17.065,12.516,1.806,0.565,0.919,0.594,0.219,0.624,1.613,2.161,"2020-21"
202687,"Bismack Biyombo","CHA",66,20.436,5.015,5.258,1.227,0.258,1.121,0.562,0,0.243,1.076,-4.182,"2020-21"
202689,"Kemba Walker","BOS",43,31.845,19.279,3.953,4.93,1.116,0.279,0.418,0.358,0.765,2.047,2.163,"2020-21"
202692,"Alec Burks","NYK",49,25.603,12.714,4.633,2.184,0.633,0.286,0.397,0.396,0.522,1,2.551,"2020-21"
202693,"Markieff Morris","LAL",61,19.674,6.672,4.361,1.197,0.361,0.311,0.35,0.268,0.257,0.885,0.344,"2020-21"
202694,"Marcus Morris Sr.","LAC",57,26.349,13.421,4.105,1.018,0.596,0.263,0.454,0.452,0.499,1,2.333,"2020-21"
202695,"Kawhi Leonard","LAC",52,34.085,24.846,6.481,5.173,1.558,0.404,0.521,0.391,0.834,2.019,8.577,"2020-21"
202696,"Nikola Vučević","CHI",26,32.604,21.5,11.538,3.923,0.885,0.769,0.477,0.398,0.596,1.654,-2.423,"2020-21"
202696,"Nikola Vučević","ORL",44,34.101,24.545,11.75,3.795,0.955,0.636,0.478,0.422,0.645,1.886,-6.318,"2020-21"
202699,"Tobias Harris","PHI",62,32.489,19.516,6.758,3.548,0.887,0.823,0.511,0.339,0.767,1.726,5.226,"2020-21"
202704,"Reggie Jackson","LAC",67,23.047,10.672,2.866,3.06,0.612,0.104,0.404,0.376,0.349,1.104,3.672,"2020-21"
202709,"Cory Joseph","SAC",44,21.457,6.568,2.25,2.455,0.886,0.205,0.424,0.27,0.33,1,-4.5,"2020-21"
202710,"Jimmy Butler III","MIA",52,33.55,21.462,6.904,7.096,2.077,0.346,0.491,0.165,0.815,2.096,3.769,"2020-21"
202711,"Bojan Bogdanovic","UTA",72,30.772,17.014,3.903,1.889,0.625,0.056,0.417,0.352,0.763,1.778,5.819,"2020-21"
202722,"Davis Bertans","WAS",57,25.679,11.491,2.947,0.86,0.579,0.228,0.415,0.392,0.53,0.579,1.947,"2020-21"
202734,"E'Twaun Moore","PHX",27,14.398,4.926,1.667,1.481,0.556,0.185,0.354,0.222,0.222,0.852,0.259,"2020-21"
202954,"Brad Wanamaker","CHA",22,19.463,6.864,1.773,3.409,0.773,0.227,0.371,0.038,0.621,1.545,-5.5,"2020-21"
202954,"Brad Wanamaker","GSW",39,16.029,4.744,1.692,2.538,0.667,0.154,0.351,0.189,0.529,0.949,-0.256,"2020-21"
203076,"Anthony Davis","LAL",36,32.27,21.833,7.944,3.056,1.25,1.639,0.493,0.195,0.695,2.056,3.194,"2020-21"
203078,"Bradley Beal","WAS",60,35.783,31.3,4.717,4.417,1.15,0.367,0.483,0.353,0.868,3.117,-0.05,"2020-21"
203081,"Damian Lillard","POR",67,35.788,28.776,4.224,7.537,0.925,0.254,0.449,0.379,0.892,3.03,2.955,"2020-21"
203082,"Terrence Ross","ORL",46,29.271,15.587,3.435,2.348,1.022,0.457,0.403,0.287,0.655,1.609,-5.109,"2020-21"
203083,"Andre Drummond","CLE",25,28.872,17.48,13.48,2.56,1.6,1.16,0.465,0,0.479,3.24,-4.32,"2020-21"
203083,"Andre Drummond","LAL",21,24.752,11.905,10.19,1.429,1.095,0.952,0.509,0,0.473,2.048,0.143,"2020-21"
203084,"Harrison Barnes","SAC",58,36.248,16.086,6.638,3.466,0.741,0.19,0.49,0.357,0.776,1.603,-0.983,"2020-21"
203085,"Austin Rivers","NYK",21,21.054,7.333,2.238,2,0.571,0,0.306,0.255,0.214,1.048,-2.095,"2020-21"
203087,"Jeremy Lamb","IND",36,21.259,10.083,3.639,1.472,0.944,0.639,0.405,0.364,0.725,0.611,-0.389,"2020-21"
203090,"Maurice Harkless","SAC",26,24.936,6.885,2.923,1.423,1.077,0.615,0.37,0.174,0.381,0.731,-0.538,"2020-21"
203095,"Evan Fournier","ORL",26,30.253,19.654,2.885,3.654,1.038,0.346,0.457,0.37,0.784,2.077,-3.038,"2020-21"
203107,"Tomas Satoransky","CHI",58,22.527,7.707,2.448,4.672,0.69,0.241,0.52,0.307,0.457,1.655,0,"2020-21"
203109,"Jae Crowder","PHX",60,27.473,10.05,4.7,2.117,0.8,0.45,0.394,0.362,0.301,0.917,3.633,"2020-21"
203110,"Draymond Green","GSW",63,31.457,7.048,7.111,8.857,1.667,0.825,0.41,0.202,0.43,2.984,3.794,"2020-21"
203114,"Khris Middleton","MIL",68,33.362,20.368,5.971,5.441,1.088,0.132,0.483,0.405,0.765,2.618,4.25,"2020-21"
203115,"Will Barton","DEN",56,30.996,12.696,4.036,3.232,0.893,0.411,0.401,0.367,0.481,1.714,4.143,"2020-21"
203118,"Mike Scott","PHI",51,16.699,4.176,2.353,0.784,0.471,0.275,0.331,0.318,0.082,0.373,-0.157,"2020-21"
