PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
2544,LeBron James,LAL,45,33.416,25.022,7.689,7.778,1.067,0.556,0.51,0.347,0.694,3.733,6.378
2546,Carmelo Anthony,POR,69,24.495,13.391,3.101,1.507,0.667,0.551,0.413,0.386,0.583,0.884,-0.348
2617,Udonis Haslem,MIA,1,2.672,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2730,Dwight Howard,PHI,69,17.327,6.986,8.406,0.884,0.435,0.899,0.536,0.048,0.476,1.623,-0.957
2738,Andre Iguodala,MIA,63,21.252,4.365,3.508,2.254,0.905,0.556,0.378,0.268,0.161,1.063,-1.302
2760,Anderson Varejao,CLE,5,7.187,2.6,4.0,0.6,0.0,0.4,0.34,0.0,0.4,0.2,-6.6
2772,Trevor Ariza,MIA,30,28.032,9.4,4.8,1.833,1.033,0.6,0.375,0.303,0.5,0.7,1.333
101108,Chris Paul,PHX,70,31.422,16.414,4.457,8.886,1.414,0.271,0.494,0.356,0.696,2.229,4.429
101141,Ersan Ilyasova,UTA,17,8.679,3.824,1.706,0.235,0.588,0.176,0.342,0.376,0.118,0.471,0.882
101150,Lou Williams,ATL,24,21.047,9.958,2.083,3.375,0.333,0.083,0.373,0.363,0.621,1.75,-0.25
101150,Lou Williams,LAC,42,21.852,12.143,2.095,3.429,0.929,0.095,0.394,0.365,0.596,1.571,1.976
200746,LaMarcus Aldridge,BKN,5,26.046,12.8,4.8,2.6,0.6,2.2,0.513,0.6,0.8,1.4,4.8
200746,LaMarcus Aldridge,SAS,21,25.913,13.714,4.476,1.714,0.381,0.857,0.431,0.343,0.524,0.952,-2.762
200752,Rudy Gay,SAS,63,21.55,11.365,4.81,1.397,0.714,0.635,0.409,0.366,0.512,1.032,2.063
200755,JJ Redick,DAL,13,11.292,4.385,0.923,0.846,0.154,0.077,0.317,0.386,0.192,0.846,2.538
