PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
2544,LeBron James,LAL,71,35.263,25.662,7.296,8.296,1.254,0.535,0.542,0.405,0.731,3.451,3.07
101108,Chris Paul,GSW,58,26.395,9.19,3.879,6.776,1.207,0.103,0.425,0.332,0.259,1.31,1.897
200768,Kyle Lowry,MIA,37,28.029,8.189,3.486,3.973,1.054,0.405,0.388,0.362,0.329,1.432,0.351
200768,Kyle Lowry,PHI,23,28.378,8.0,2.826,4.609,0.87,0.261,0.444,0.412,0.467,1.391,-0.478
200782,P.J. Tucker,LAC,28,14.999,1.643,2.536,0.571,0.464,0.179,0.165,0.214,0.071,0.214,-1.857
200782,P.J. Tucker,PHI,3,22.114,2.0,4.667,0.0,1.0,0.667,0.5,0.5,0.0,0.667,9.333
201142,Kevin Durant,PHX,75,37.208,27.093,6.6,5.04,0.92,1.213,0.531,0.422,0.803,3.253,3.88
201143,Al Horford,BOS,65,26.766,8.646,6.354,2.585,0.585,0.954,0.511,0.4,0.2,0.738,6.477
201144,Mike Conley,MIN,76,28.861,11.434,2.868,5.908,1.158,0.224,0.451,0.432,0.489,1.342,3.605
201145,Jeff Green,HOU,78,16.761,6.526,2.282,0.897,0.205,0.397,0.442,0.23,0.499,0.59,-0.987
201152,Thaddeus Young,PHX,10,8.936,2.3,2.8,0.7,0.5,0.2,0.425,0.0,0.1,0.4,-1.1
201152,Thaddeus Young,TOR,23,15.224,4.957,3.261,2.174,0.783,0.13,0.523,0.043,0.13,0.478,-1.261
201565,Derrick Rose,MEM,24,16.639,7.958,1.875,3.25,0.333,0.083,0.451,0.316,0.41,1.292,-1.375
201566,Russell Westbrook,LAC,68,22.483,11.088,5.044,4.5,1.088,0.338,0.455,0.201,0.488,2.118,1.529
201567,Kevin Love,MIA,55,16.805,8.818,6.145,2.091,0.327,0.182,0.43,0.293,0.47,0.873,1.982
201568,Danilo Gallinari,DET,6,14.92,8.667,2.333,2.0,0.333,0.333,0.639,0.583,0.726,0.167,4.333
201568,Danilo Gallinari,MIL,17,9.103,2.765,1.059,0.706,0.353,0.059,0.316,0.147,0.279,0.588,-2.824
201568,Danilo Gallinari,WAS,26,14.809,6.962,2.923,1.192,0.231,0.115,0.397,0.252,0.619,0.462,-2.962
201569,Eric Gordon,PHX,68,27.833,11.015,1.794,2.044,0.971,0.441,0.415,0.353,0.321,1.074,1.926
201572,Brook Lopez,MIL,79,30.521,12.532,5.177,1.608,0.544,2.392,0.478,0.348,0.484,1.0,3.519
201577,Robin Lopez,MIL,16,4.046,1.125,0.312,0.25,0.062,0.188,0.242,0.125,0.062,0.125,-1.438
201580,JaVale McGee,SAC,46,7.377,4.022,2.739,0.37,0.304,0.435,0.509,0.022,0.237,0.739,0.152
201587,Nicolas Batum,LAC,3,18.036,2.667,2.333,1.667,1.0,1.333,0.25,0.222,0.0,0.333,0.0
201587,Nicolas Batum,PHI,57,25.886,5.474,4.228,2.158,0.789,0.596,0.432,0.368,0.093,0.684,3.105
201599,DeAndre Jordan,DEN,36,10.992,3.944,4.361,0.722,0.167,0.444,0.581,0.0,0.217,0.639,-2.444
201935,James Harden,LAC,72,34.301,16.556,5.125,8.528,1.069,0.792,0.42,0.372,0.879,2.569,4.042
201939,Stephen Curry,GSW,74,32.723,26.432,4.459,5.122,0.73,0.378,0.444,0.405,0.859,2.838,2.554
201942,DeMar DeRozan,CHI,79,37.83,24.013,4.304,5.329,1.139,0.57,0.483,0.282,0.851,1.709,-0.785
201949,James Johnson,IND,9,5.244,0.889,0.444,0.889,0.556,0.111,0.185,0.0,0.111,0.556,0.556
201950,Jrue Holiday,BOS,69,32.801,12.464,5.406,4.826,0.884,0.768,0.487,0.441,0.38,1.797,6.188
201959,Taj Gibson,DET,4,9.781,4.5,2.25,0.5,0.25,0.25,0.542,0.25,0.0,0.0,-1.25
201959,Taj Gibson,NYK,16,10.336,1.0,1.75,0.562,0.125,0.375,0.229,0.0,0.062,0.312,-1.5
201976,Patrick Beverley,MIL,26,20.902,6.038,3.615,2.615,0.731,0.5,0.331,0.311,0.397,0.615,-1.769
201976,Patrick Beverley,PHI,47,19.554,6.255,3.085,3.064,0.511,0.383,0.415,0.267,0.419,1.043,-0.319
201980,Danny Green,PHI,2,9.225,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
201988,Patty Mills,ATL,19,10.627,2.684,1.053,0.737,0.474,0.053,0.267,0.286,0.0,0.421,-2.053
201988,Patty Mills,MIA,13,16.415,5.846,1.154,1.538,0.846,0.0,0.297,0.189,0.308,0.615,3.462
202066,Garrett Temple,TOR,27,10.695,3.259,1.667,1.037,0.444,0.111,0.394,0.212,0.241,0.519,-2.926
202083,Wesley Matthews,ATL,36,11.469,3.056,1.472,0.639,0.444,0.306,0.34,0.308,0.194,0.222,-1.917
202330,Gordon Hayward,CHA,25,31.915,14.48,4.68,4.64,1.12,0.48,0.453,0.323,0.587,2.04,-5.32
202330,Gordon Hayward,OKC,26,17.206,5.308,2.462,1.615,0.462,0.038,0.417,0.295,0.344,0.577,-0.038
202331,Paul George,LAC,74,33.808,22.581,5.243,3.541,1.527,0.5,0.471,0.411,0.737,2.068,6.23
202397,Ish Smith,CHA,43,17.229,3.233,1.767,3.372,0.395,0.093,0.384,0.081,0.035,1.093,-6.512
202681,Kyrie Irving,DAL,58,34.993,25.638,5.0,5.155,1.276,0.483,0.497,0.395,0.756,1.828,4.776
202684,Tristan Thompson,CLE,49,11.202,3.286,3.551,1.041,0.245,0.286,0.464,0.0,0.116,0.592,-0.265
202685,Jonas Valančiūnas,NOP,82,23.474,12.22,8.793,2.11,0.402,0.829,0.548,0.207,0.558,1.354,1.927
202687,Bismack Biyombo,MEM,30,23.936,5.2,6.367,1.7,0.333,1.133,0.524,0.0,0.162,1.267,-2.067
202687,Bismack Biyombo,OKC,10,7.337,1.8,1.8,0.2,0.1,0.3,0.283,0.0,0.15,0.4,-0.3
202691,Klay Thompson,GSW,77,29.665,17.857,3.299,2.286,0.649,0.455,0.422,0.372,0.593,1.519,0.091
202692,Alec Burks,DET,43,20.944,12.558,2.558,1.581,0.488,0.256,0.373,0.381,0.649,0.744,-4.326
202692,Alec Burks,NYK,23,13.52,6.478,1.739,0.87,0.304,0.043,0.252,0.26,0.361,0.696,-3.043
202693,Markieff Morris,DAL,26,8.323,2.538,1.5,0.615,0.192,0.115,0.33,0.237,0.096,0.462,-2.192
202694,Marcus Morris Sr.,CLE,12,15.013,5.75,2.083,0.833,0.167,0.167,0.459,0.34,0.208,0.917,-4.25
