PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
2544,LeBron James,LAL,70,34.921,24.429,7.8,8.214,1.0,0.557,0.511,0.349,0.751,3.714,-0.771
101108,Chris Paul,SAS,82,27.953,8.817,3.61,7.378,1.256,0.268,0.433,0.387,0.483,1.573,0.049
200768,Kyle Lowry,PHI,35,18.841,3.943,1.914,2.743,0.943,0.314,0.264,0.246,0.257,0.6,-2.029
200782,P.J. Tucker,NYK,3,19.289,3.0,2.667,0.0,0.333,0.333,0.3,0.333,0.0,0.333,-7.333
201142,Kevin Durant,PHX,62,36.527,26.565,6.032,4.242,0.806,1.242,0.535,0.466,0.807,3.065,-0.613
201143,Al Horford,BOS,60,27.643,8.967,6.15,2.133,0.6,0.85,0.411,0.34,0.254,0.767,6.617
201144,Mike Conley,MIN,71,24.73,8.197,2.563,4.493,1.113,0.197,0.39,0.409,0.407,1.056,3.732
201145,Jeff Green,HOU,32,12.389,5.375,1.812,0.625,0.188,0.125,0.474,0.326,0.23,0.281,-1.188
201566,Russell Westbrook,DEN,75,27.897,13.253,4.933,6.093,1.413,0.493,0.454,0.292,0.526,3.227,-0.32
201567,Kevin Love,MIA,23,10.933,5.304,4.087,0.957,0.652,0.174,0.277,0.248,0.239,0.609,-1.087
201569,Eric Gordon,PHI,39,19.705,6.821,1.179,1.667,0.667,0.308,0.376,0.339,0.36,0.718,-1.846
201572,Brook Lopez,MIL,80,31.826,13.012,5.012,1.788,0.625,1.85,0.508,0.357,0.533,1.05,1.675
201587,Nicolas Batum,LAC,78,17.53,4.013,2.795,1.077,0.667,0.462,0.371,0.371,0.115,0.436,1.949
201599,DeAndre Jordan,DEN,56,12.334,3.732,5.071,0.946,0.286,0.482,0.584,0.0,0.154,0.714,-0.839
201935,James Harden,LAC,79,35.304,22.81,5.772,8.696,1.494,0.696,0.41,0.345,0.86,4.316,4.354
201939,Stephen Curry,GSW,70,32.178,24.543,4.429,6.014,1.143,0.429,0.445,0.392,0.842,2.857,4.271
201942,DeMar DeRozan,SAC,77,35.943,22.208,3.87,4.442,0.805,0.416,0.479,0.3,0.834,1.364,1.429
201949,James Johnson,IND,12,3.051,0.667,0.5,0.333,0.0,0.167,0.181,0.0,0.0,0.333,-0.75
201950,Jrue Holiday,BOS,62,30.582,11.065,4.274,3.855,1.065,0.435,0.439,0.321,0.392,1.242,5.468
201959,Taj Gibson,CHA,37,11.05,2.892,3.243,0.568,0.243,0.486,0.439,0.014,0.16,0.676,-3.351
201988,Patty Mills,LAC,12,5.047,3.083,0.083,0.417,0.083,0.0,0.312,0.312,0.208,0.083,-1.083
