PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
2207,Joe Johnson,BOS,1,1.95,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.0
2544,LeBron James,LAL,56,37.22,30.268,8.196,6.232,1.304,1.054,0.524,0.356,0.765,3.5,-2.089
2546,Carmelo Anthony,LAL,69,25.988,13.319,4.174,0.986,0.681,0.754,0.435,0.355,0.596,0.855,-1.275
2617,Udonis Haslem,MIA,13,6.401,2.462,1.923,0.308,0.077,0.077,0.438,0.077,0.077,0.385,-1.154
2730,Dwight Howard,LAL,60,16.179,6.2,5.933,0.583,0.567,0.6,0.553,0.106,0.482,0.783,-2.133
2738,Andre Iguodala,GSW,31,19.446,4.0,3.226,3.677,0.871,0.71,0.369,0.223,0.242,0.903,3.677
2772,Trevor Ariza,LAL,24,19.263,4.0,3.417,1.125,0.542,0.25,0.369,0.297,0.198,0.458,-2.333
101108,Chris Paul,PHX,65,32.907,14.738,4.354,10.8,1.862,0.308,0.497,0.287,0.676,2.354,7.077
101139,CJ Miles,BOS,1,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
101150,Lou Williams,ATL,56,14.266,6.321,1.554,1.875,0.5,0.054,0.392,0.347,0.461,0.768,0.268
200746,LaMarcus Aldridge,BKN,47,22.342,12.915,5.489,0.894,0.298,1.0,0.501,0.114,0.656,0.936,0.404
200752,Rudy Gay,UTA,55,18.877,8.109,4.4,1.018,0.455,0.345,0.403,0.332,0.456,0.855,3.327
200765,Rajon Rondo,CLE,21,19.451,6.238,2.81,4.905,0.857,0.048,0.366,0.358,0.24,1.619,-2.048
200765,Rajon Rondo,LAL,18,16.081,3.056,2.722,3.722,0.667,0.278,0.287,0.153,0.028,1.889,-3.722
200768,Kyle Lowry,MIA,63,33.86,13.397,4.476,7.524,1.063,0.27,0.419,0.369,0.627,2.667,3.968
200782,P.J. Tucker,MIA,71,27.898,7.592,5.451,2.099,0.817,0.211,0.489,0.349,0.235,0.93,3.239
200794,Paul Millsap,BKN,24,11.253,3.417,3.708,1.0,0.208,0.458,0.292,0.115,0.17,0.458,0.167
200794,Paul Millsap,PHI,9,11.737,3.667,2.778,0.556,0.556,0.222,0.322,0.111,0.25,0.889,-3.0
201142,Kevin Durant,BKN,55,37.226,29.873,7.4,6.382,0.873,0.945,0.528,0.394,0.905,3.473,4.891
201143,Al Horford,BOS,69,29.055,10.159,7.681,3.362,0.71,1.333,0.465,0.329,0.395,0.942,5.594
201144,Mike Conley,UTA,72,28.585,13.694,3.014,5.347,1.333,0.292,0.429,0.393,0.549,1.708,4.819
201145,Jeff Green,DEN,75,24.653,10.293,3.08,1.28,0.373,0.36,0.505,0.217,0.663,0.947,0.787
201152,Thaddeus Young,SAS,26,14.245,6.077,3.577,2.269,0.885,0.269,0.47,0.0,0.141,1.154,-1.154
201152,Thaddeus Young,TOR,26,18.263,6.308,4.423,1.731,1.192,0.423,0.434,0.324,0.256,0.846,1.923
201565,Derrick Rose,NYK,26,24.456,11.962,3.0,3.962,0.846,0.462,0.422,0.333,0.462,1.5,3.538
201566,Russell Westbrook,LAL,78,34.332,18.474,7.436,7.051,0.962,0.256,0.438,0.261,0.585,3.782,-2.705
201567,Kevin Love,CLE,74,22.498,13.608,7.243,2.162,0.351,0.243,0.425,0.359,0.57,1.324,1.284
201568,Danilo Gallinari,ATL,66,25.334,11.682,4.667,1.53,0.424,0.182,0.436,0.381,0.622,0.576,1.621
201569,Eric Gordon,HOU,57,29.29,13.421,1.982,2.702,0.491,0.316,0.468,0.409,0.555,1.877,-3.088
201571,D.J. Augustin,HOU,34,14.993,5.353,1.206,2.176,0.294,0.0,0.373,0.366,0.354,1.324,-3.529
201571,D.J. Augustin,LAL,21,17.783,5.333,1.286,1.571,0.333,0.048,0.377,0.357,0.143,0.524,-2.714
201572,Brook Lopez,MIL,13,22.954,12.385,4.077,0.462,0.615,1.154,0.436,0.328,0.385,0.923,-0.538
201577,Robin Lopez,ORL,36,16.997,7.056,3.5,1.5,0.056,0.5,0.495,0.056,0.373,1.222,-1.806
201580,JaVale McGee,PHX,74,15.834,9.189,6.703,0.568,0.297,1.095,0.645,0.02,0.462,1.324,1.622
201586,Serge Ibaka,LAC,35,15.385,6.629,4.286,1.029,0.2,0.743,0.404,0.31,0.262,0.943,-1.143
201586,Serge Ibaka,MIL,19,17.849,7.0,5.263,0.684,0.211,0.368,0.513,0.269,0.368,0.526,-0.737
201587,Nicolas Batum,LAC,59,24.79,8.322,4.305,1.695,0.983,0.712,0.433,0.343,0.153,0.678,-2.169
201588,George Hill,MIL,54,23.207,6.185,2.87,2.222,0.778,0.111,0.387,0.24,0.42,0.759,5.796
201599,DeAndre Jordan,LAL,32,12.763,4.125,5.375,0.406,0.312,0.812,0.591,0.0,0.18,0.656,-3.375
201599,DeAndre Jordan,PHI,16,13.374,4.625,5.75,0.5,0.125,0.562,0.517,0.0,0.312,1.0,-2.438
201609,Goran Dragic,BKN,16,25.484,7.312,3.188,4.812,0.875,0.188,0.338,0.236,0.384,2.062,1.75
201609,Goran Dragic,TOR,5,17.95,8.0,2.8,1.8,1.0,0.2,0.352,0.23,0.6,0.2,-4.4
201933,Blake Griffin,BKN,56,17.109,6.411,4.071,1.875,0.482,0.25,0.372,0.179,0.402,0.554,-1.679
201935,James Harden,BKN,44,36.983,22.5,7.977,10.159,1.273,0.705,0.413,0.315,0.875,4.818,0.523
201935,James Harden,PHI,21,37.735,21.048,7.095,10.476,1.238,0.238,0.409,0.318,0.89,3.429,7.143
201937,Ricky Rubio,CLE,34,28.534,13.088,4.147,6.618,1.441,0.206,0.341,0.333,0.717,2.647,5.412
201939,Stephen Curry,GSW,64,34.548,25.469,5.234,6.312,1.328,0.359,0.434,0.374,0.792,3.219,7.953
201942,DeMar DeRozan,CHI,76,36.091,27.868,5.158,4.921,0.895,0.316,0.504,0.312,0.848,2.382,1.013
201949,James Johnson,BKN,62,19.213,5.484,3.468,2.097,0.484,0.548,0.44,0.157,0.204,0.774,-0.952
201950,Jrue Holiday,MIL,67,32.947,18.284,4.493,6.821,1.612,0.433,0.498,0.412,0.555,2.731,6.358
201954,Darren Collison,LAL,3,12.389,1.333,1.333,0.667,0.333,0.0,0.333,0.0,0.0,0.333,-4.667
201959,Taj Gibson,NYK,52,18.187,4.404,4.404,0.615,0.423,0.769,0.431,0.169,0.351,0.519,0.827
201961,Wayne Ellington,LAL,43,18.842,6.674,1.791,0.698,0.535,0.116,0.43,0.42,0.11,0.442,-1.372
201976,Patrick Beverley,MIN,58,25.444,9.19,4.138,4.621,1.155,0.897,0.4,0.313,0.497,1.259,1.931
201980,Danny Green,PHI,62,21.829,5.903,2.532,1.032,0.968,0.597,0.38,0.369,0.081,0.726,1.29
201988,Patty Mills,BKN,81,28.96,11.395,1.926,2.259,0.63,0.21,0.391,0.394,0.204,0.901,1.444
202066,Garrett Temple,NOP,59,18.617,5.237,2.424,1.254,0.729,0.39,0.334,0.28,0.207,0.712,-5.525
202083,Wesley Matthews,MIL,49,20.452,5.082,1.878,0.735,0.469,0.163,0.37,0.3,0.238,0.367,2.837
202324,Derrick Favors,OKC,39,16.73,5.282,4.718,0.641,0.436,0.308,0.465,0.051,0.199,0.231,-3.667
