PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
1629060,Rui Hachimura,LAL,33,22.369,9.606,4.697,0.697,0.242,0.424,0.468,0.275,0.52,0.515,1.242
1629060,Rui Hachimura,WAS,30,24.262,13.0,4.267,1.167,0.367,0.4,0.47,0.299,0.423,1.2,-2.3
1629111,Jock Landale,PHX,69,14.181,6.609,4.058,0.986,0.232,0.435,0.508,0.16,0.445,0.855,2.043
1629117,Wenyen Gabriel,LAL,68,15.055,5.471,4.206,0.529,0.382,0.515,0.57,0.103,0.279,0.676,-0.471
1629126,Deonte Burton,SAC,2,3.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1629130,Duncan Robinson,MIA,42,16.44,6.381,1.643,1.095,0.333,0.0,0.342,0.302,0.333,0.667,-1.333
1629134,Kendrick Nunn,LAL,39,13.534,6.718,1.41,0.872,0.282,0.077,0.358,0.278,0.218,0.795,-0.538
1629134,Kendrick Nunn,WAS,31,14.051,7.548,1.742,1.806,0.548,0.129,0.433,0.36,0.258,1.129,-1.065
1629139,Yuta Watanabe,BKN,58,15.996,5.552,2.431,0.828,0.431,0.293,0.434,0.347,0.244,0.379,-0.121
1629162,Jordan McLaughlin,MIN,43,15.779,3.744,1.442,3.442,0.744,0.093,0.407,0.269,0.163,0.767,1.953
1629216,Gabe Vincent,MIA,68,25.863,9.426,2.132,2.456,0.912,0.074,0.381,0.304,0.345,1.353,-0.412
1629234,Drew Eubanks,POR,78,20.304,6.641,5.359,1.321,0.513,1.308,0.651,0.054,0.365,0.859,-1.679
1629308,Juan Toscano-Anderson,LAL,30,12.162,2.7,2.033,0.833,0.333,0.233,0.409,0.092,0.175,0.567,-2.833
1629308,Juan Toscano-Anderson,UTA,22,15.236,3.364,2.864,1.818,0.273,0.136,0.39,0.106,0.114,0.773,-2.818
1629312,Haywood Highsmith,MIA,54,17.952,4.37,3.481,0.796,0.667,0.315,0.36,0.212,0.097,0.833,-1.907
1629599,Amir Coffey,LAC,50,12.506,3.44,1.06,1.06,0.14,0.1,0.25,0.078,0.333,0.42,-2.28
1629603,Mamadi Diakite,CLE,22,7.994,2.591,1.364,0.364,0.182,0.409,0.416,0.205,0.045,0.545,-0.409
1629611,Terance Mann,LAC,81,23.113,8.802,3.407,2.272,0.519,0.272,0.506,0.32,0.424,0.988,0.025
1629614,Andrew Nembhard,IND,75,27.647,9.453,2.653,4.547,0.933,0.173,0.444,0.34,0.307,1.68,-3.507
1629622,Max Strus,MIA,80,28.4,11.538,3.225,2.138,0.525,0.15,0.389,0.329,0.394,0.862,-1.812
1629623,Lindell Wigginton,MIL,7,12.379,7.143,1.0,2.0,0.0,0.286,0.315,0.129,0.405,1.714,-5.571
1629626,Bol Bol,ORL,70,21.506,9.057,5.786,0.986,0.429,1.214,0.499,0.172,0.454,1.6,-2.086
1629627,Zion Williamson,NOP,29,32.969,26.0,6.966,4.586,1.103,0.552,0.614,0.149,0.723,3.414,5.138
1629628,RJ Barrett,NYK,73,33.91,19.603,5.041,2.753,0.425,0.205,0.429,0.314,0.699,2.247,-0.849
1629629,Cam Reddish,NYK,20,21.897,8.4,1.55,1.0,0.75,0.4,0.452,0.31,0.565,0.75,-0.55
1629629,Cam Reddish,POR,20,27.583,10.95,2.85,1.85,1.2,0.3,0.414,0.262,0.6,1.6,-9.1
1629630,Ja Morant,MEM,61,31.94,26.164,5.852,8.082,1.082,0.262,0.467,0.278,0.729,3.377,4.951
1629631,De'Andre Hunter,ATL,67,31.726,15.358,4.239,1.403,0.522,0.254,0.469,0.348,0.68,1.224,-0.269
1629632,Coby White,CHI,74,23.381,9.662,2.865,2.757,0.73,0.081,0.419,0.359,0.382,1.0,1.932
1629633,Jarrett Culver,ATL,10,13.688,4.4,3.8,0.6,0.6,0.2,0.307,0.025,0.425,0.7,-1.9
1629634,Brandon Clarke,MEM,56,19.467,9.982,5.536,1.286,0.607,0.661,0.641,0.018,0.497,0.982,-0.25
1629636,Darius Garland,CLE,69,35.466,21.594,2.681,7.797,1.232,0.13,0.469,0.408,0.808,2.884,6.348
1629637,Jaxson Hayes,NOP,47,12.98,4.957,2.809,0.723,0.426,0.404,0.405,0.053,0.349,0.66,-1.489
1629638,Nickeil Alexander-Walker,MIN,23,15.47,5.87,1.826,1.391,0.348,0.304,0.361,0.303,0.142,0.435,-1.435
1629638,Nickeil Alexander-Walker,UTA,36,14.669,6.333,1.639,2.111,0.667,0.389,0.424,0.294,0.332,1.25,-0.5
1629639,Tyler Herro,MIA,67,34.857,20.104,5.373,4.179,0.761,0.239,0.435,0.349,0.75,2.358,2.537
1629640,Keldon Johnson,SAS,63,32.751,21.984,5.048,2.905,0.73,0.175,0.458,0.306,0.685,2.127,-7.794
1629641,Romeo Langford,SAS,43,19.635,6.907,2.651,1.163,0.558,0.302,0.459,0.24,0.324,0.698,-4.186
1629642,Nassir Little,POR,54,18.075,6.648,2.611,0.926,0.37,0.37,0.419,0.35,0.287,0.667,-3.519
1629643,Chuma Okeke,ORL,27,19.185,4.741,3.556,1.37,0.704,0.407,0.339,0.285,0.216,0.63,-4.37
1629644,KZ Okpala,SAC,35,7.086,1.314,0.971,0.371,0.2,0.2,0.212,0.138,0.071,0.2,-0.314
1629645,Kevin Porter Jr.,HOU,59,34.303,19.153,5.322,5.729,1.39,0.288,0.434,0.339,0.696,3.186,-5.814
1629646,Charles Bassey,SAS,35,14.511,5.686,5.514,1.371,0.457,0.943,0.589,0.057,0.271,1.171,-0.914
1629647,Darius Bazley,OKC,36,15.424,5.444,3.389,0.889,0.528,0.806,0.378,0.255,0.307,0.611,-0.917
1629647,Darius Bazley,PHX,7,8.698,4.0,2.286,0.857,0.429,0.714,0.391,0.095,0.119,0.714,-5.286
1629650,Moses Brown,BKN,2,3.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,-3.0
1629650,Moses Brown,LAC,34,8.463,4.559,4.088,0.118,0.088,0.412,0.556,0.0,0.231,0.412,0.971
1629651,Nic Claxton,BKN,76,29.877,12.645,9.237,1.895,0.855,2.487,0.7,0.0,0.487,1.263,1.566
1629652,Luguentz Dort,OKC,74,30.708,13.689,4.649,2.081,1.014,0.311,0.382,0.316,0.627,1.243,0.459
1629653,Devon Dotson,WAS,6,8.85,0.5,1.667,1.333,0.833,0.0,0.056,0.083,0.0,0.5,-0.5
